State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
3400,08/04/2020,-7.17,-27,-35.5,1.43,7.6,-9.93,-57.6,9.95,12.3
3600,08/04/2020,-5.12,-26.5,-55.5,4.39,13.4,-6.56,-59.7,14.8,16
4400,08/04/2020,-8.96,-34.5,-47.1,-7.46,2.8,-23.7,-75,20.4,37.5
900,08/05/2020,-9.65,-31.2,-46.3,-3.28,12.6,-21.1,-63.5,9.76,7.88
2500,08/05/2020,-1.61,-23.2,-32.4,13.2,17.3,-5.51,-62.2,18.6,20.1
3400,08/05/2020,-7.98,-26.9,-37.7,0.134,6.8,-11,-57.5,9.29,11.7
3600,08/05/2020,-5.54,-26.2,-55.6,2.6,12.5,-7.17,-60.3,13.4,14.3
4400,08/05/2020,-12.1,-35.7,-53.5,-12.1,1.01,-23.5,-78.3,14.8,27.8
900,08/06/2020,-10,-30.8,-46.5,-6.17,11.7,-26,-66.4,7.95,5.45
2500,08/06/2020,-1.18,-24.1,-30.4,14.6,17.3,-5.98,-58.1,18.8,20.7
3400,08/06/2020,-7.17,-26.5,-40,0.827,7.27,-11.4,-57.4,10.2,13
3600,08/06/2020,-5.53,-25.7,-54.9,2.69,13.2,-12.5,-61.2,13.8,14.3
4400,08/06/2020,-12,-36.4,-59.1,-9.84,3.39,-23.4,-75.4,10.3,16.4
900,08/07/2020,-12.2,-31.3,-46.1,-6.97,10.9,-30.9,-68.8,5.6,2.13
2500,08/07/2020,-1.08,-24.5,-27.8,13.6,17.4,1.1,-55.1,18.9,20.7
3400,08/07/2020,-6.64,-26.9,-41.1,2.12,7.78,-12.7,-56,10.8,13.8
3600,08/07/2020,-6.13,-25.6,-56.7,1.41,12.2,-13.4,-61.6,13,13.8
4400,08/07/2020,-10.3,-37.6,-60.4,-8.32,10.1,-23.3,-78.2,13.4,15.8
900,08/08/2020,-11.9,-31.1,-48,-6.23,12.2,-35.5,-70,7.08,3.69
2500,08/08/2020,0.0775,-23,-22.4,15.2,18.5,-2.97,-55.6,20.3,22.5
3400,08/08/2020,-4.35,-27.1,-32.8,4.76,9.16,-10.7,-54.8,13.6,17.8
3600,08/08/2020,-4.58,-25.1,-52.1,2.23,13.4,-9.66,-62.6,13.7,13.9
4400,08/08/2020,-10.1,-37.7,-62.3,-10.1,8.9,-23.2,-78.6,14.1,18.6
900,08/09/2020,-11.3,-29.9,-45.4,-5.97,13.8,-35.1,-73.3,7.51,3.31
2500,08/09/2020,0.479,-22.1,-22.7,14.4,17.5,0.793,-56,18.2,19.1
3400,08/09/2020,-3.35,-27,-31.3,5.56,9.05,-9.12,-55.2,14,18.7
3600,08/09/2020,-3.62,-24.1,-50.5,1.48,13.8,-9.58,-62.7,13.7,13.7
4400,08/09/2020,-8.14,-37.4,-66.3,-9.28,6.75,-23.1,-80.1,11.9,16.5
900,08/10/2020,-12.8,-29.9,-46.1,-7.04,13.3,-37.6,-74,7.11,3.01
2500,08/10/2020,-0.283,-22.2,-23.6,15.1,18.2,-3.42,-57.4,17.7,18
3400,08/10/2020,-4.55,-26.5,-32.3,5.13,7.08,-12.8,-57.8,13,18.6
3600,08/10/2020,-4.61,-24.2,-50.1,0.962,13.1,-12.2,-65.4,13.4,13.7
4400,08/10/2020,-9.63,-37.4,-68.4,-8.34,6.28,-24.8,-78.4,13.3,19.6
900,08/11/2020,-11.4,-27.5,-45.2,-3.99,16.7,-35.8,-72.1,9.31,4.41
2500,08/11/2020,-0.778,-21.5,-24.3,15.1,18.3,-2.14,-58.6,16.4,15.5
3400,08/11/2020,-1.87,-25,-32.9,9.57,10.9,-6.63,-56,17.6,23.8
3600,08/11/2020,-3.42,-22.8,-48.7,2.14,14.7,-8.39,-65.2,14.9,15.1
4400,08/11/2020,-9.43,-38.3,-65.8,-9.85,6.92,-26.5,-77.8,11.7,16
900,08/12/2020,-8.05,-26.3,-42.8,-0.368,22.9,-26.3,-71.9,13.6,7.55
2500,08/12/2020,-0.58,-20.6,-23.9,13.6,19.2,-5.49,-59.5,15.6,13.2
3400,08/12/2020,-1.19,-25.4,-29.6,10.2,11.7,-8.09,-56.3,17.8,23.6
3600,08/12/2020,-2.49,-22.7,-47.3,3.77,16.1,-9.63,-64.7,15.9,15.8
4400,08/12/2020,-8.81,-39.4,-64.3,-11.2,5.12,-28.2,-79.3,8.99,12.6
900,08/13/2020,-7.39,-26.3,-40.6,-0.603,24.8,-24.6,-71,14.4,7.7
2500,08/13/2020,-1.42,-20.1,-24.7,10.4,18.4,-4.38,-63.6,12.5,8.24
3400,08/13/2020,-1.52,-26.2,-27.9,9.36,11,-7.96,-55.3,16.6,21.8
3600,08/13/2020,-1.75,-23.1,-48.1,3.78,14.7,-7.5,-63.5,15.8,16.7
4400,08/13/2020,-9,-38.5,-61,-14.2,4.87,-29.9,-81.7,8.56,12.1
900,08/14/2020,-5.58,-25.9,-40,-1.06,27.5,-20.2,-69.4,15.8,8.37
2500,08/14/2020,-2.36,-19.5,-30.8,10.5,17.1,-7.73,-67.4,9.89,4.67
3400,08/14/2020,-2.4,-25.3,-28.6,6.29,9.96,-9.44,-54.9,14.9,19.5
3600,08/14/2020,-1.63,-22.2,-46.4,3.62,15.2,-7.11,-62.6,16.1,16.8
4400,08/14/2020,-9.99,-37.6,-58.9,-21.3,0.853,-31.6,-82.2,3.47,6.01
900,08/15/2020,-5.18,-26,-41.7,-0.228,27.9,-13.6,-69.1,15.4,7.53
2500,08/15/2020,-3.78,-19.8,-33.6,8.03,17,-3.89,-66.2,7.26,-0.175
3400,08/15/2020,-3.94,-25.3,-29.2,3.85,9,-11.8,-55.4,12.6,16.1
3600,08/15/2020,-2.25,-22.5,-48.1,3.11,14.5,-9.85,-62.4,16.3,17.7
4400,08/15/2020,-10.6,-38.2,-59,-19.7,1.6,-33.3,-83.2,5.52,9.24
900,08/16/2020,-5.58,-27.1,-44.3,1.65,27.7,-14.9,-67.2,15,7.16
2500,08/16/2020,-3.66,-19.3,-34.3,7.4,18.3,-8.47,-66.1,8.13,0.627
3400,08/16/2020,-4.7,-26.1,-31.6,3.61,8.83,-12.9,-54.4,12.2,15.4
3600,08/16/2020,-2.26,-23.3,-49.5,2.87,14.5,-9.81,-61.1,16.2,17.5
4400,08/16/2020,-11.3,-37.1,-47.9,-21.8,3.16,-35,-81.7,5.47,7.67
900,08/17/2020,-5.7,-26.7,-44.3,0.943,25,-15.3,-67.8,13.6,6.64
2500,08/17/2020,-5.04,-19.5,-33.4,4.75,17.7,-7.23,-68.3,3.49,-8.35
3400,08/17/2020,-4.64,-26.2,-32.3,2.93,8.88,-12,-53.8,12.2,15.4
3600,08/17/2020,-2.56,-23.8,-49.9,1.72,14.3,-11.3,-61.5,15.5,16.4
4400,08/17/2020,-10.3,-39.2,-46.3,-22,-0.29,-33.4,-83.5,2.22,4.43
900,08/18/2020,-5.98,-28.2,-42.9,-0.255,24.3,-15.1,-68.9,12.9,6.03
2500,08/18/2020,-5.61,-19.4,-34.2,-0.626,18.3,-4.74,-67.1,1.1,-13
3400,08/18/2020,-5.17,-25.9,-32.8,0.342,8.82,-13,-54,10.9,12.9
3600,08/18/2020,-2.48,-24,-49.1,0.75,14.6,-12,-61.7,15.2,15.7
4400,08/18/2020,-7.11,-35.6,-37,-20.8,0.663,-31.8,-70.7,5.99,10.9
900,08/19/2020,-6.61,-28.9,-43.1,-0.973,20.3,-15.4,-66.9,11.4,6
2500,08/19/2020,-5.39,-19.3,-32.4,-1.56,17.2,-3.49,-67.4,1.96,-10.6
3400,08/19/2020,-4.92,-26,-33.6,0.0563,9.66,-10.3,-54,11.4,13.2
3600,08/19/2020,-2.73,-24,-49.4,-0.68,14.6,-9.89,-60.5,14.3,14.1
4400,08/19/2020,-5.75,-34.8,-30.1,-17.3,-1.1,-30.2,-72.6,8.24,16.8
900,08/20/2020,-5.85,-28.7,-41.5,-0.0053,18.5,-14.2,-65.1,11.4,7.03
2500,08/20/2020,-4.8,-19.4,-31.5,-1.41,17.7,-3.8,-67.2,4.52,-6.41
3400,08/20/2020,-5.12,-25.9,-33.6,-1.16,9.27,-9.61,-55.3,10.9,12.6
3600,08/20/2020,-3.25,-23.6,-49.8,-1.15,15.3,-5.91,-61.2,13.6,12.3
4400,08/20/2020,-6.18,-35.4,-31.9,-18,-2.22,-28.6,-70.8,11.6,24.7
900,08/21/2020,-5.48,-28.4,-43.3,0.666,15.3,-13.9,-66.5,11.3,8.93
2500,08/21/2020,-3.63,-19.1,-27.1,-3.27,18.2,-6.14,-66.5,6.93,-2.46
3400,08/21/2020,-5.18,-26.7,-32.8,-1.35,7.99,-7.19,-55.7,9.72,11.5
3600,08/21/2020,-2.97,-23.9,-50.1,-1.17,14.4,-4.74,-61.6,13.1,12
4400,08/21/2020,-6.38,-35.1,-33.3,-11.2,0.289,-27,-58.4,14.9,28.7
900,08/22/2020,-5.6,-27.9,-43.7,-0.125,13.3,-14.8,-66.2,10.2,8.3
2500,08/22/2020,-2.32,-18.5,-27.5,-2.2,17.3,-3.92,-66.2,9.26,2.48
3400,08/22/2020,-4.43,-27,-32,-0.772,7.7,-5.78,-55.2,9.96,12.2
3600,08/22/2020,-2.03,-23.4,-48.4,-2.05,14.8,-1.58,-60.9,13.2,11.9
4400,08/22/2020,-6.55,-35.4,-31.8,-11.9,2.25,-25.4,-57.9,11.7,20
900,08/23/2020,-3.03,-25.2,-42,-0.789,15.9,-15.5,-67.5,12.8,10.9
2500,08/23/2020,-2.2,-18.3,-28.2,-2.75,16,-3.71,-65.6,10.6,5.91
3400,08/23/2020,-4.5,-26.2,-28.5,-2.7,7.58,-6.07,-55.4,9.05,10.6
3600,08/23/2020,-2.33,-22.3,-50.1,-2.68,14.1,-0.337,-60.8,12.8,11.8
4400,08/23/2020,-7.91,-37.5,-42.7,-12.5,0.127,-23.8,-64.1,11.3,21.2
900,08/24/2020,-4.91,-28.2,-44.5,-4.18,15,-13.7,-67.2,10.5,7.63
2500,08/24/2020,-1.1,-18.2,-27.6,-1.19,16.3,-5.04,-64.6,13.5,9.97
3400,08/24/2020,-4.42,-26.4,-27.9,-1.94,8,-4.2,-55.3,9.04,10.2
3600,08/24/2020,-2.04,-22.4,-51,-1.57,14.7,0.912,-60.1,13.5,12.6
4400,08/24/2020,-8.08,-36.5,-46.6,-8.87,2.97,-25.1,-66.1,14.2,24.1
900,08/25/2020,-4.23,-28.2,-45,-6.2,13.1,-11.7,-66.7,9.26,6.74
2500,08/25/2020,-0.71,-18.1,-25,-0.197,14.1,-6.24,-64.3,15,13.9
3400,08/25/2020,-4.22,-27.1,-26.4,-1.26,8.24,-3.4,-57.1,9.56,11
3600,08/25/2020,-2.17,-22.6,-52.2,-1.41,14.8,1.34,-59.5,14,13.3
4400,08/25/2020,-9.99,-38.3,-56.3,-6.42,0.813,-26.4,-78.9,13.7,25.4
900,08/26/2020,-2.56,-27.9,-43.2,-7.36,15.6,-11.6,-67.8,10.4,6.97
2500,08/26/2020,-0.765,-17.7,-28,-1.85,14.8,-9.4,-64.7,15,13.6
3400,08/26/2020,-3.57,-26.5,-25.2,-1.88,8.41,-4.47,-55.3,9.33,10.4
3600,08/26/2020,-1.81,-22.6,-51.8,-0.308,14.8,1.29,-61.1,14.8,14.8
4400,08/26/2020,-13.4,-37,-61.6,-10.9,4.95,-27.6,-77.5,13.4,20.6
900,08/27/2020,-3.68,-28.8,-47.7,-8.87,15.8,-13.2,-69.5,9.12,4.77
2500,08/27/2020,-1.25,-19,-28.8,-2.42,14,-1.9,-63.9,12.8,10.5
3400,08/27/2020,-3.14,-26.5,-26.8,-1.43,9.52,-0.794,-54,10,10.8
3600,08/27/2020,-1.35,-22.8,-52.5,-1.02,15.7,-1.72,-60.2,15,14.5
4400,08/27/2020,-11.8,-37.6,-61.7,-12.5,5.22,-28.9,-74.4,9.15,12.6
900,08/28/2020,-3.65,-30.4,-45.4,-10,16.4,-12.8,-67.8,9.46,4.94
2500,08/28/2020,-2.14,-18.8,-32.4,-2.82,13.4,0.734,-62.5,10.9,7.65
3400,08/28/2020,-3.38,-26.7,-29.1,-2.27,9.71,-1.12,-54.5,10,10.6
3600,08/28/2020,-1.21,-22.9,-52.1,-1.38,15.4,-1.1,-58.9,15.1,14.9
4400,08/28/2020,-9.02,-37.7,-60.4,-15.9,10.6,-30.2,-81.2,15.5,19.7
900,08/29/2020,-3.07,-30.9,-45.3,-6.47,17.5,-14.1,-68.9,12.2,8.75
2500,08/29/2020,1.31,-19,-34.6,1.45,14.1,-1.45,-63,18.6,22.6
3400,08/29/2020,-2.93,-27.2,-29.1,-0.532,10.7,-0.733,-55.1,11.3,12.1
3600,08/29/2020,-0.841,-23.5,-53.3,0.358,15.7,0.418,-57.8,15.5,15.5
4400,08/29/2020,-8.45,-34.5,-59.5,-16.5,7.31,-31.5,-79.9,16.6,24.7
900,08/30/2020,-2.61,-30.5,-42.5,-4.38,17,-13.4,-66.9,11.7,8.37
2500,08/30/2020,2.42,-19.3,-33,3.27,12.6,1.73,-62.9,21.1,29.6
3400,08/30/2020,-3.51,-27.1,-30.6,-0.781,9.19,-0.101,-55.4,10.6,12.2
3600,08/30/2020,-1.03,-23.9,-50.9,0.451,14.8,-1.46,-59.3,14.7,14.7
4400,08/30/2020,-7.55,-33.4,-56.3,-13.8,6.01,-32.7,-77.5,17.6,27.8
900,08/31/2020,-2.03,-28.7,-39.5,-2,14.4,-11.7,-67.2,12.1,10.6
2500,08/31/2020,2.44,-19.6,-33.6,1.9,9.59,7.23,-61.9,20.2,30.9
3400,08/31/2020,-3.91,-27.8,-30.1,-3.47,6.67,0.0901,-54.8,8,9.45
3600,08/31/2020,-0.795,-24.3,-48.1,-1.29,12.5,1.66,-58.6,12.5,12.5
4400,08/31/2020,-6.91,-31.7,-52.9,-17.8,4.84,-28.3,-70.6,16.3,26.5
900,09/01/2020,-1.68,-28.6,-41.7,0.563,15.1,-11.5,-64.4,13.2,11.9
2500,09/01/2020,3.56,-21.6,-35.6,2.21,11,9.55,-61.1,21.7,32.2
3400,09/01/2020,-3.06,-28.7,-34.2,-5.21,5.97,3.19,-50.9,6.28,6.87
3600,09/01/2020,0.163,-24.7,-48.1,-2.9,11.9,3.43,-54.9,10.6,9.6
4400,09/01/2020,-7.36,-30.2,-57.2,-23.1,6.6,-23.9,-62.9,10.2,13.6
900,09/02/2020,1.65,-27.7,-41.6,2.14,11.5,2.11,-61.3,11,10.7
2500,09/02/2020,4.71,-25.6,-33.4,0.374,5.75,36.3,-58,17.2,28.5
3400,09/02/2020,-1.37,-31.2,-35.3,-7.7,1.82,23.6,-48.7,2.51,3.42
3600,09/02/2020,2.79,-26.2,-45.7,-6.53,8.45,23.9,-50.4,7.3,6.45
4400,09/02/2020,-2.35,-30.6,-56.1,-25,0.477,-19.5,-67.4,5.44,10.1
900,09/03/2020,-4.58,-31.3,-42,2.8,10.4,-14,-61.4,10.6,10.8
2500,09/03/2020,3.65,-23.6,-33.3,2.91,9.3,8.46,-58.4,21.6,34
3400,09/03/2020,-4.74,-31.8,-35.5,-6.42,2.92,-2.57,-50,4.11,5.46
3600,09/03/2020,-0.533,-26.5,-43.8,-6.19,8.35,6.53,-50.9,7.36,6.62
4400,09/03/2020,-5.81,-31.2,-54.3,-20.1,4.14,-15.1,-64,9.41,14.4
900,09/04/2020,-5.48,-29,-41.4,3.76,11.1,-16.5,-60.7,10.3,9.69
2500,09/04/2020,4.32,-22.4,-30.3,6.11,11.4,6.42,-58.9,23.2,35.1
3400,09/04/2020,-4.35,-30.3,-32.8,-6.26,4.06,-4.83,-48.8,5.01,6.14
3600,09/04/2020,-0.942,-26.1,-41.9,-6.42,9.29,2.08,-50.5,7.43,6.02
4400,09/04/2020,-8.93,-31.3,-54.7,-17.1,-1.9,-10.7,-64.4,1.49,4.89
900,09/05/2020,-5.35,-26.8,-41.4,0.9,13.3,-18.6,-60.6,10.6,8.71
2500,09/05/2020,0.702,-22.7,-25.6,2.77,12,1.66,-60.1,15.8,19.9
3400,09/05/2020,-4.47,-28.2,-30.7,-7.78,4.23,-7.69,-47.4,4.7,5.42
3600,09/05/2020,-1.11,-24.2,-38.9,-6.3,9.59,-2.09,-50.5,7.42,5.78
4400,09/05/2020,-8.52,-32.3,-49.6,-16,0.684,-6.31,-64.4,2.14,4
900,09/06/2020,-5.33,-25.1,-42.3,2.38,15.4,-18.4,-61.6,13.3,11.9
2500,09/06/2020,-0.34,-21.7,-25,2.23,14.5,0.574,-59.9,13.4,12.9
3400,09/06/2020,-2.87,-26.1,-28,-6.08,6.14,-7.37,-46,6.74,7.59
3600,09/06/2020,-0.57,-22.8,-38.1,-4.59,11.7,0.167,-53.2,9.55,7.98
4400,09/06/2020,-8.61,-29.6,-39.5,-19.4,2.57,-1.9,-64.1,2.61,3.3
900,09/07/2020,-2.84,-21.7,-40.6,4,13.3,-19.4,-60.4,14.2,14.6
2500,09/07/2020,-2.03,-26.5,-27.1,-6.1,8.26,12.8,-58.8,6.12,4.39
3400,09/07/2020,-4.31,-30.9,-30.7,-13,2.49,0.301,-44.5,1.11,0.209
3600,09/07/2020,-1.28,-26.7,-39.6,-12.7,6.61,7.08,-46.3,3.82,1.7
4400,09/07/2020,-8.29,-27.7,-36.6,-34.9,-3.28,-6.46,-74.2,-7.15,-9.92
900,09/08/2020,-6.5,-23.1,-42.8,0.736,17.5,-22.2,-65.2,12.3,9
2500,09/08/2020,-3.31,-18.7,-19.1,-0.377,12.7,-8.26,-63.2,11.9,11.3
3400,09/08/2020,-4.82,-21,-28,-6.33,5.53,-16.4,-49,7.55,9.56
3600,09/08/2020,-3.63,-20.3,-36.3,-5.42,11.3,-7.64,-61.5,10,9.02
4400,09/08/2020,-9.09,-30.1,-35.4,-21.1,5.22,-11,-72.4,2.08,-0.0257
900,09/09/2020,-6.67,-20.6,-44,1.23,19,-21.5,-66.9,12.3,8.09
2500,09/09/2020,-4.2,-17.3,-17.4,0.507,13.6,-12.2,-66,12.3,11.3
3400,09/09/2020,-5.39,-17.7,-28.5,-5.87,5.54,-17.6,-50.6,8.06,10.5
3600,09/09/2020,-4.05,-17.2,-37.4,-4.31,12.8,-11.6,-65.3,11.1,9.88
4400,09/09/2020,-8.37,-29.4,-32.9,-22.8,6.16,-15.6,-69.3,2.99,0.702
900,09/10/2020,-4.34,-18.3,-43.9,3.12,21.4,-18.3,-68.9,14.6,10.4
2500,09/10/2020,-4.59,-16.1,-16,2.2,13.4,-13.4,-67.6,12.8,12.5
3400,09/10/2020,-4.54,-15.8,-25.3,-5.13,5.29,-16.1,-50.3,8.36,11.3
3600,09/10/2020,-3.17,-16.8,-37.9,-0.971,13.9,-11.5,-65.9,12.8,11.9
4400,09/10/2020,-9.37,-27.7,-33.2,-20.7,5.97,-20.1,-73,6.59,7.75
900,09/11/2020,-4.04,-18.7,-42.3,3.47,20.8,-12.6,-70.5,15,11.2
2500,09/11/2020,-5.13,-17.7,-18.1,2.25,10.3,-12.6,-68.5,10.8,11.6
3400,09/11/2020,-5.08,-16.1,-28.4,-3.89,3.25,-15.9,-50.8,7.73,12
3600,09/11/2020,-2.67,-16.1,-41.6,-0.0297,13.2,-10.2,-67.9,12.8,12.5
4400,09/11/2020,-9.37,-27.6,-33.7,-23.5,6.68,-24.7,-73.5,7.77,9.47
900,09/12/2020,-4.07,-19.3,-43.2,4.61,18.4,-11.6,-70.7,14.5,12.1
2500,09/12/2020,-4.66,-15.5,-19.6,4.16,10.5,-9.98,-66.3,12.2,14.3
3400,09/12/2020,-4.33,-14.2,-30.2,-0.407,3.52,-14.3,-52,9.01,14.2
3600,09/12/2020,-2.56,-14.3,-43.4,0.21,13.5,-9.42,-70.5,13,12.7
4400,09/12/2020,-8.8,-27.3,-16.8,-19.3,7.54,-29.2,-72.9,8.67,10.7
900,09/13/2020,-4.83,-20.3,-47.7,2.66,17.6,-13.4,-71.4,12.5,9.17
2500,09/13/2020,-4.44,-16.4,-22.6,6.38,12.5,-12.9,-67.5,12.9,13.6
3400,09/13/2020,-5.03,-14.7,-32.2,-0.528,4.64,-15,-52.6,8.89,12.9
3600,09/13/2020,-2.8,-15.2,-44.3,-0.0282,15.3,-12.6,-68.6,13,11.3
4400,09/13/2020,-8.95,-30.5,-27.3,-18.4,9.85,-33.8,-72.3,8.05,7.17
900,09/14/2020,-4.55,-22.7,-51.7,2.33,18.6,-11.1,-71.3,13.5,10.3
2500,09/14/2020,-3.85,-18.3,-24.1,9.91,12.2,-10.9,-68,13.3,14.8
3400,09/14/2020,-5.65,-17,-30.3,0.629,3.74,-14.4,-51.2,8.88,13.8
3600,09/14/2020,-2.68,-16.6,-45.9,2.97,14.3,-11.5,-66.6,13.2,12.3
4400,09/14/2020,-6.45,-33.1,-23.4,-13.7,6.7,-31.9,-72.8,13.9,22.6
900,09/15/2020,-5.87,-24.7,-54.9,1.97,15.8,-9.49,-72.7,12.5,10.4
2500,09/15/2020,-3.01,-19.4,-23.4,15.4,11.9,-10.4,-69.5,14.2,16.9
3400,09/15/2020,-5.46,-19.1,-28.4,1.98,3.4,-11.4,-50.2,8.85,14
3600,09/15/2020,-1.7,-17.6,-45,3.62,13.8,-8.58,-64.5,13.1,12.6
4400,09/15/2020,-7.76,-36.9,-23.3,-12.6,3.35,-30,-73.6,14.9,28
900,09/16/2020,-6.8,-25.5,-54.2,2.88,14.1,-9.58,-73.2,12.3,11.2
2500,09/16/2020,-2.63,-18.2,-26,18.8,11.1,-9.28,-70.3,14,17.3
3400,09/16/2020,-5.59,-19,-28.1,3.94,3.39,-13.1,-51,9.59,15.5
3600,09/16/2020,-2.3,-17.5,-47.7,4.64,13.2,-11.5,-62.8,12.9,12.7
4400,09/16/2020,-7.77,-38.5,-21.2,-11.4,3.16,-28.1,-66.3,16.2,30.5
900,09/17/2020,-6.61,-24.9,-53.7,1.18,13.2,-8.95,-71,11.8,10.9
2500,09/17/2020,-1.96,-19.2,-29,20.4,11.8,-8.76,-68.7,15.1,18.8
3400,09/17/2020,-4.69,-19.3,-27.1,6.59,4.8,-10.3,-50.1,10.9,16.6
3600,09/17/2020,-2.19,-17.6,-47.4,4.93,14.1,-11.5,-63.6,13.6,13.2
4400,09/17/2020,-6.18,-38.3,-22.4,-10.5,3.1,-26.3,-62.9,16.1,29.7
900,09/18/2020,-6.54,-25.4,-56.2,2.28,13.2,-12.6,-70,11.9,11.1
2500,09/18/2020,-0.94,-20.1,-28.4,22.2,12.8,-10.2,-66.7,17.4,22.6
3400,09/18/2020,-3.5,-19,-23.4,8.33,5.9,-9.75,-49.4,11.8,17.5
3600,09/18/2020,-1.3,-18,-44.1,6.58,14.5,-10.7,-63.5,14.8,15.2
4400,09/18/2020,-6.57,-38.1,-12.2,-11,3.08,-24.4,-62,16.9,30.8
900,09/19/2020,-5.75,-25.2,-56,3.76,14.1,-8.15,-69.9,12.6,11.6
2500,09/19/2020,0.957,-19.9,-28,23.7,13.5,-7.57,-67.4,18.3,23.5
3400,09/19/2020,-2.94,-19.8,-21.1,9.7,5.38,-9.32,-48.7,12.5,19.2
3600,09/19/2020,-0.0855,-18.8,-43.9,8.96,15.3,-9.99,-63.1,16,16.5
4400,09/19/2020,-6.5,-39.8,-30.6,-9.86,1.96,-22.5,-58.8,16.1,29.6
900,09/20/2020,-4.97,-24.5,-49.5,7.18,16,-10.4,-70.2,14.3,13.2
2500,09/20/2020,1.41,-19.5,-27,24.3,15.2,-3.56,-66.8,19.3,23.6
3400,09/20/2020,-2.41,-20.4,-20.6,12,5.49,-7.96,-49.4,13.5,21.1
3600,09/20/2020,0.701,-19.3,-42.6,10.3,15,-8.95,-63.6,16.8,18.3
4400,09/20/2020,-3.7,-40.1,-36.8,15,5.15,-20.6,-61.9,27.8,49.5
900,09/21/2020,-4.45,-24.2,-48.7,8.22,17.1,-12.2,-70.7,15.3,14.1
2500,09/21/2020,0.828,-20.5,-27.7,23.7,15.6,-4.8,-67.3,20,24.8
3400,09/21/2020,-1.68,-20.8,-20.5,13.7,6.72,-6.04,-51,14.7,22.3
3600,09/21/2020,0.899,-19.8,-42.4,10,15.1,-7.51,-64.3,17,18.6
4400,09/21/2020,-4.76,-41,-40.8,23.5,6.59,-19.9,-65.6,29.9,52.1
900,09/22/2020,-3.03,-24.8,-43.2,10.9,17.1,-13.9,-68.8,16.9,16.8
2500,09/22/2020,0.538,-20.8,-29.2,22.8,15.2,-2.45,-65.6,19.7,24.5
3400,09/22/2020,-1.8,-21.1,-21.7,14.7,7,-6.74,-49.4,15.2,23
3600,09/22/2020,0.463,-20.3,-43.9,12,15.8,-9.06,-62.9,17.8,19.5
4400,09/22/2020,-5.37,-39.7,-47.1,24.2,6.92,-19.1,-67.6,28.2,48.3
900,09/23/2020,-1.04,-24.2,-42,11.2,19.6,-17.7,-67.5,18.8,18.3
2500,09/23/2020,1.17,-20.5,-25.1,22.6,15.3,-5.3,-64,20.2,25.5
3400,09/23/2020,-1.68,-21.7,-22.1,13.5,6.64,-2.34,-47.3,14.6,22.1
3600,09/23/2020,1.44,-20.3,-43.9,11.8,17,-2.23,-62.8,18.6,19.8
4400,09/23/2020,-4.76,-39.5,-50.5,25.4,8.5,-18.4,-75.1,28.5,47.4
900,09/24/2020,-0.293,-24.5,-42,14,21.5,-20.1,-67.6,20.9,20.6
2500,09/24/2020,1.5,-18.7,-21.6,19.7,15.3,-8.86,-62.6,20.7,26.5
3400,09/24/2020,-1.76,-22,-22.3,12.4,6.73,-3.5,-47.6,14.7,22.1
3600,09/24/2020,1.6,-20.3,-43.2,12.8,16.1,-4.33,-62,18.8,21
4400,09/24/2020,-8.16,-39.1,-48.4,23.2,9.58,-17.7,-78.6,26.3,41.9
900,09/25/2020,-0.0005,-24.1,-42.8,13.6,21.6,-18.1,-67.5,21.2,21
2500,09/25/2020,1.01,-17.1,-23.7,16.2,15.9,-5.26,-62.9,20,24.5
3400,09/25/2020,-2.33,-22.2,-24.8,10.1,6.19,-2.56,-48.1,13.5,20.4
3600,09/25/2020,1.12,-20.4,-45.4,11.4,16.2,-2.37,-62.5,17.6,18.9
4400,09/25/2020,-8.51,-39.8,-57,21.1,8.99,-17,-79.6,24.5,38.5
900,09/26/2020,0.0107,-22.9,-38.5,13.7,21.7,-21.7,-66.5,21.2,20.9
2500,09/26/2020,0.706,-17.5,-22.8,14.3,16,-8.72,-63.5,19.4,23.2
3400,09/26/2020,-2.63,-21.8,-26.4,8.13,7.16,-3.29,-48,13,18.5
3600,09/26/2020,-0.0597,-21,-44.3,8.75,15,-3.27,-61.6,15.7,16.2
4400,09/26/2020,-9.78,-39.6,-60.1,15,6.36,-16.2,-81.6,22.6,37.8
900,09/27/2020,-1.43,-24.5,-40.1,10.5,18.5,-21,-64.3,18.2,18.1
2500,09/27/2020,-0.0303,-18.7,-21.7,11.8,14,-9.92,-62.3,18.5,23.3
3400,09/27/2020,-2.94,-21.2,-24.3,7.29,6.13,-6.42,-46.2,11.6,16.8
3600,09/27/2020,-0.615,-20.2,-44.2,7.87,14.1,-4.07,-60.4,14.2,14.3
4400,09/27/2020,-13.1,-40.2,-64.1,-9.76,1.84,-15.5,-80.9,10.2,17.6
900,09/28/2020,-1.78,-24.7,-38.5,9.8,18.9,-23.3,-64.3,17.4,16.4
2500,09/28/2020,-0.355,-18.1,-23.8,9.46,14.5,-11.6,-60.5,18.6,23.1
